walletAddress,approvedAddress,approvalAmount
0xa69303D076dFb54d50589C4D018205a409Aa4293,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x1bbB53688c22b08f4C1dEEdE191f9D7D0aB9f4Fb,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xE6Fd5dD7A626902FF3B5B59eE055D47797DB3b11,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x6E9cf99C0983755b414c66508A957009872A6D76,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x9a80A6F84c45BE2C023670141FdD0b9C715011b6,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x5248A1F863Ab9eB04f590bf6A6B143b685928b51,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564027079444937909416412225
0xbf2B7b98f802763894E88bb266A1acAD2BEDc95C,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564016008228471715942621456
0xB2a870eFc8c19CDA978453280aAD3B3632a364c5,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564031457453535583507759252
0xB9ccfC18B941A2CC51A956aa6C83360eb9d58DE7,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xB9ccfC18B941A2CC51A956aa6C83360eb9d58DE7,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xa73aC33E9eb1f9e735f6233Ac348c429b1E0Dd9e,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xb7a7969b60Af50A6710372000820e95e07D296FE,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564023232236941393028798753
0x123DcD66d5C0A77943f18a621Ce9e11cB4142fa8,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xdB2ef2CE91EA97F1442C67eF492ad9C44cA80377,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x72b9E97d6321A628A365785eFd95F0Cd1a7A7005,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xaB2C3D95757bd85a807513FD0009f6080e8E8898,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564004286626333667962074650
0x9a80A6F84c45BE2C023670141FdD0b9C715011b6,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564026835584007913129639935
0x8aDdfE0578Be4e848A4F1010fF88990Dcd2aFF30,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564035502088805539898460063
0xaB2C3D95757bd85a807513FD0009f6080e8E8898,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640563974286626333667962074650
