walletAddress,approvedAddress,approvalAmount
0x488179d8d707819d6a2A67f803408725C331C850,0x40ec5B33f54e0E8A33A975908C5BA1c14e5BbbDf,2400000000000000000000000
0xb1b2d032AA2F52347fbcfd08E5C3Cc55216E8404,0x216B4B4Ba9F3e719726886d34a177484278Bfcae,115792089237316195423570985008687907853269984665640564014377754874727254639935
0xDEF171Fe48CF0115B1d80b88dc8eAB59176FEe57,0xE592427A0AEce92De3Edee1F18E0157C05861564,115792089237316195423570985008687907853269984665640563949526712305466540898015
0xbAae377C86AF78633019A8A36aCd08084cFe98CC,0x881D40237659C251811CEC9c364ef91dC08D300C,115792089237316195423570985008687907853269984665640564011201381317853063621508
0x74de5d4FCbf63E00296fd95d33236B9794016631,0x1111111254EEB25477B68fb85Ed929f73A960582,115792089237316195423570985008687907853269984665640553937654161697301381075946
0x488179d8d707819d6a2A67f803408725C331C850,0x40ec5B33f54e0E8A33A975908C5BA1c14e5BbbDf,0
0xDbDc5356403C1301c2c0A5b9E6C65ECd045d3EB8,0xa152F8bb749c55E9943A3a0A3111D18ee2B3f94E,115792089237316195423570985008687907853269984665640563970442785134033129639935
0x5E6dE698Fa7aFb9D2439C0D914deFF68b495901a,0xa152F8bb749c55E9943A3a0A3111D18ee2B3f94E,115792089237316195423570985008687907853269984665640564006969946916973129639935
0x69dcc752863c349b483235BcBbABb752933cBA91,0x0000000000001fF3684f28c67538d4D072C22734,535130400000000000000
0x69dcc752863c349b483235BcBbABb752933cBA91,0x0000000000001fF3684f28c67538d4D072C22734,0
0x46243fCA06383528bBE39679CD0FDAfDd4B69BAA,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640563804445746576283973778545
0x46243fCA06383528bBE39679CD0FDAfDd4B69BAA,0xE592427A0AEce92De3Edee1F18E0157C05861564,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x46243fCA06383528bBE39679CD0FDAfDd4B69BAA,0xE592427A0AEce92De3Edee1F18E0157C05861564,115792089237316195423570985008687907853269984665640564039457584007913128639935
0x993B7D7b486143F6a5cFc53c8C5D45D44665DE04,0x3aC551725ac98C5DCdeA197cEaaE7cDb8a71a2B4,0
0x488179d8d707819d6a2A67f803408725C331C850,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,115792089237316195423570985008687907853269984665640562003346401649113394213901
0x9BbA55AEbf3779dCD7CB9E2e7C45f55be8C69530,0xa152F8bb749c55E9943A3a0A3111D18ee2B3f94E,115792089237316195423570985008687907853269984665640564039457584007913129639935
